"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-144-5p","hsa-mir-486-5p",4089,"SMAD4",196,"AHR",1,0,0.001,0.0015,0.013,0.019,5e-04,0.0231666666666667
"hsa-mir-182-5p","hsa-mir-542-3p",2908,"NR3C1",800,"CALD1",1,0.001,0.007,0.4425,0.0375,0.257,0,0
"hsa-mir-31-5p","hsa-mir-9-5p",3091,"HIF1A",2235,"FECH",1,0,0.0035,0.135,0.0245,0.983,0,0
"hsa-mir-139-3p","hsa-mir-330-3p",6667,"SP1",2683,"B4GALT1",1,0,0.0015,0.0025,0.0195,0.0305,0.001,0.0373554040895813
"hsa-mir-514a-3p","hsa-mir-942-5p",5451,"POU2F1",2796,"GNRH1",1,0.008,0,0.029,0.063,0.0105,0,0
"hsa-mir-143-3p","hsa-mir-195-5p",688,"KLF5",3728,"JUP",1,0,0,0.0265,0.0115,0.3325,0.001,0.0373554040895813
"hsa-mir-144-3p","hsa-mir-144-5p",4089,"SMAD4",4092,"SMAD7",1,0,0.001,0.0045,0.036,0.0345,0.001,0.0373554040895813
"hsa-mir-378a-3p","hsa-mir-378a-5p",6667,"SP1",5021,"OXTR",1,0,0,0,0.017,0.0295,0,0
"hsa-let-7c-5p","hsa-mir-497-5p",4609,"MYC",5315,"PKM",1,0,0.0015,0.092,0.0185,0.7465,0.0015,0.0479949958298582
"hsa-mir-223-3p","hsa-mir-424-5p",6667,"SP1",7048,"TGFBR2",1,0.005,0,0.1055,0.0245,0.9845,0,0
"hsa-mir-142-3p","hsa-mir-942-5p",7586,"ZKSCAN1",7335,"UBE2V1",1,0,0,0.002,0.017,0.6155,0.001,0.0373554040895813
"hsa-mir-582-5p","hsa-mir-942-5p",5451,"POU2F1",8521,"GCM1",1,0,0,0.1935,0.038,0.093,5e-04,0.0231666666666667
"hsa-mir-192-5p","hsa-mir-193b-3p",8202,"NCOA3",23613,"ZMYND8",1,0.001,5e-04,0.0235,0.419,0.0215,0,0
"hsa-mir-1-3p","hsa-mir-378a-3p",6667,"SP1",56034,"PDGFC",1,0,0,0.1885,0.5555,0.792,5e-04,0.0231666666666667
"hsa-mir-1-3p","hsa-mir-378a-5p",6667,"SP1",56034,"PDGFC",1,0.001,0,0.213,0.595,0.4685,0,0
"hsa-mir-145-5p","hsa-mir-378a-5p",6667,"SP1",56034,"PDGFC",1,0.008,0,0.1315,0.64,0.5035,5e-04,0.0231666666666667
"hsa-mir-1270","hsa-mir-188-5p",8202,"NCOA3",204851,"HIPK1",1,0.002,0,0.039,0.117,0.0325,0.0015,0.0479949958298582
"hsa-mir-138-5p","hsa-mir-378a-5p",7764,"ZNF217",342184,"FMN1",1,0,0,0.494,0.043,0.1025,0.0015,0.0479949958298582
